====================================================================================================
COLDCARD Mk3 RNG EXPLOIT — DRAIN TIMELINE ANALYSIS (FULL, 100% COVERAGE)
====================================================================================================
Date: 2026-08-26 19:30
Addresses analyzed: 35,066 (of 35,188 victims)
  Unique drain dates: 1,899
  Total drained (first-drain sum): 10230.95 BTC
  Drain waves (>=10 addr/day, gap<=2d): 368
====================================================================================================

DRAIN WAVES
----------------------------------------------------------------------------------------------------
Wave 1: 2021-05-11 | 13 addresses | 7.08 BTC
Wave 2: 2021-05-24 | 12 addresses | 29.44 BTC
Wave 3: 2021-06-13 | 16 addresses | 0.61 BTC
Wave 4: 2021-07-16 | 15 addresses | 1.36 BTC
Wave 5: 2021-07-31 | 18 addresses | 0.23 BTC
Wave 6: 2021-08-03 | 12 addresses | 12.10 BTC
Wave 7: 2021-08-09 | 10 addresses | 0.57 BTC
Wave 8: 2021-08-16 | 14 addresses | 12.11 BTC
Wave 9: 2021-09-19 | 13 addresses | 2.35 BTC
Wave 10: 2021-09-21 | 16 addresses | 26.04 BTC
Wave 11: 2021-09-23 to 2021-09-24 | 21 addresses | 5.78 BTC
Wave 12: 2021-09-26 to 2021-09-28 | 38 addresses | 6.65 BTC
Wave 13: 2021-10-05 | 10 addresses | 0.46 BTC
Wave 14: 2021-10-08 to 2021-10-09 | 35 addresses | 6.92 BTC
Wave 15: 2021-10-14 to 2021-10-16 | 37 addresses | 4.67 BTC
Wave 16: 2021-10-18 to 2021-10-25 | 162 addresses | 72.48 BTC
Wave 17: 2021-10-27 | 11 addresses | 3.12 BTC
Wave 18: 2021-11-05 | 13 addresses | 1.06 BTC
Wave 19: 2021-11-10 | 22 addresses | 9.04 BTC
Wave 20: 2021-11-13 to 2021-11-15 | 51 addresses | 14.36 BTC
Wave 21: 2021-11-18 to 2021-11-25 | 186 addresses | 43.10 BTC
Wave 22: 2021-11-27 | 12 addresses | 4.71 BTC
Wave 23: 2021-12-03 | 28 addresses | 16.83 BTC
Wave 24: 2021-12-05 | 15 addresses | 18.11 BTC
Wave 25: 2021-12-07 to 2021-12-09 | 42 addresses | 26.72 BTC
Wave 26: 2021-12-16 to 2021-12-17 | 29 addresses | 4.09 BTC
Wave 27: 2021-12-19 | 11 addresses | 11.24 BTC
Wave 28: 2021-12-21 to 2021-12-23 | 72 addresses | 5.90 BTC
Wave 29: 2021-12-25 to 2021-12-27 | 65 addresses | 3.13 BTC
Wave 30: 2021-12-29 | 16 addresses | 4.80 BTC
Wave 31: 2021-12-31 | 20 addresses | 27.27 BTC
Wave 32: 2022-01-04 | 12 addresses | 9.35 BTC
Wave 33: 2022-01-06 | 26 addresses | 7.21 BTC
Wave 34: 2022-01-09 to 2022-01-10 | 29 addresses | 11.00 BTC
Wave 35: 2022-01-12 | 12 addresses | 3.60 BTC
Wave 36: 2022-01-15 to 2022-01-17 | 35 addresses | 5.60 BTC
Wave 37: 2022-01-21 to 2022-01-22 | 45 addresses | 7.96 BTC
Wave 38: 2022-01-25 | 10 addresses | 1.66 BTC
Wave 39: 2022-01-27 | 16 addresses | 0.62 BTC
Wave 40: 2022-01-29 to 2022-01-31 | 40 addresses | 1.47 BTC
Wave 41: 2022-02-05 to 2022-02-07 | 82 addresses | 32.61 BTC
Wave 42: 2022-02-11 | 13 addresses | 1.61 BTC
Wave 43: 2022-02-13 | 23 addresses | 12.14 BTC
Wave 44: 2022-02-15 | 14 addresses | 0.34 BTC
Wave 45: 2022-02-17 to 2022-02-28 | 239 addresses | 22.22 BTC
Wave 46: 2022-03-02 to 2022-03-06 | 80 addresses | 5.22 BTC
Wave 47: 2022-03-08 to 2022-03-12 | 149 addresses | 24.70 BTC
Wave 48: 2022-03-14 to 2022-03-19 | 123 addresses | 11.46 BTC
Wave 49: 2022-03-21 | 10 addresses | 10.46 BTC
Wave 50: 2022-03-23 to 2022-03-30 | 174 addresses | 19.74 BTC
Wave 51: 2022-04-01 to 2022-04-05 | 96 addresses | 5.53 BTC
Wave 52: 2022-04-07 to 2022-04-12 | 168 addresses | 37.61 BTC
Wave 53: 2022-04-14 | 12 addresses | 22.34 BTC
Wave 54: 2022-04-16 to 2022-04-17 | 31 addresses | 0.18 BTC
Wave 55: 2022-04-21 | 15 addresses | 0.68 BTC
Wave 56: 2022-04-23 to 2022-04-27 | 89 addresses | 10.76 BTC
Wave 57: 2022-04-30 to 2022-05-02 | 68 addresses | 26.15 BTC
Wave 58: 2022-05-05 to 2022-05-12 | 174 addresses | 32.80 BTC
Wave 59: 2022-05-15 to 2022-05-18 | 83 addresses | 10.56 BTC
Wave 60: 2022-05-21 | 31 addresses | 0.77 BTC
Wave 61: 2022-05-24 | 13 addresses | 1.02 BTC
