address;victim_fanin;drain_txs;btc_from_victims;first_seen;last_seen
bc1qsjrf5ze5tmulz7y2x4pc7qaex2a35sanp3rqlx;1118;1208;45.2703787;31.07.2026;31.07.2026
bc1qqumw662r9vmlgpcfqmgtshwyg67wulc3ccg580;482;1;73.0;01.08.2026;01.08.2026
bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0;471;471;562.32215777;30.07.2026;30.07.2026
bc1qc779m8gec84k3t0ffvu0pps94zheht7lr7ueyn;414;414;359.93926675;30.07.2026;30.07.2026
bc1qmd5m5ktv7m5ffujxv4248fxv36myvdx79n8jp6;339;91;10.18042008;31.07.2026;31.07.2026
bc1qvgw3g4qnk8a28y893zj9dt28psnawg3vxm92pr;242;1;0.385;01.08.2026;01.08.2026
bc1qu2s37ja5fnq4vdhsef04a4mk0r2d26e3mzkjw4;163;1;2.37771563;03.04.2025;03.04.2025
bc1qvldyutxj5vwlma4vkjfd68cl54820xvgywgm36;125;10;9.0;11.07.2025;30.09.2025
bc1q6x9m9r72ymmt82k2h27c382a6a9f8ytv79935s;108;1;1.1885821;01.08.2026;01.08.2026
bc1qf64k6czest05c4l39qes9v37mhla2duvs2rkaf;106;1;12.4530414;27.02.2024;27.02.2024
UNKNOWN:00207d019bd3a7054085c550ebe05859f50ac16f;98;1;2.0;01.06.2023;01.06.2023
bc1qw3hnkqln6ae2ych6vcfdaer6l5ws6ju2rv03gd;94;1;1.44313933;31.07.2026;31.07.2026
bc1qnn4n56dym2tczjpj0cfklclpzqfywd5jkv8dhn;92;1;2.53163418;31.07.2026;31.07.2026
bc1qpp69g25yucgnctaptkhzkux375x28z8qtq00vx;88;1;0.82662485;31.07.2026;31.07.2026
bc1qe66jarp9udn9y426ev8am40nlympukjleuyj20;85;1;0.57280562;01.08.2026;01.08.2026
1MBNgJkJKii9pT9t6GyKRj5DM5P5MPs8Hq;82;26;0.15349526;01.05.2022;24.09.2023
bc1qk5lkd3xkp43977xfsc3uxukgma9t5dxkvw8hc4;80;1;40.0;01.08.2026;01.08.2026
bc1qh0l7q0mca3ln7wsl9luwns0jc9jhgrtft025l4;80;80;0.61931097;30.07.2026;30.07.2026
bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh;74;74;22.45236427;30.07.2026;30.07.2026
bc1qqapmr42z5fpc7fp2la69wxtemkflrtvehduxx6;72;1;6.0;20.06.2023;20.06.2023
bc1qthty693n7vjk7qq0ht9qdyzhn8x2q6xut02eph;70;1;0.27994143;01.08.2026;01.08.2026
34hyDtokeV7NdqLUjBq7gjjPzZ5somv85z;70;1;0.0435723;30.05.2022;30.05.2022
bc1q280w356mn8e4lvsl548ylxcnvzfr37e247x9cd;69;1;1.96607272;31.07.2026;31.07.2026
bc1qwyv2az635mmxjna0tfa5shgxnh2kzquxt2pjah;65;1;1.75793477;01.08.2026;01.08.2026
3Px7wXgheqa7myjKGFgH39EAzSFuqCApoW;63;3;3.33980876;25.04.2024;02.05.2024
bc1qtk626tjceywm8udnaepjdvdhk5cjp7spcdlld6;63;1;0.37738;31.07.2026;31.07.2026
